block,plot,plant_num,spp_mix,plot_type,mix_type,species1,species2,mass_Sp,mass,bag_wt,true_wt,th,cd_fr,bc_ram_num,stem_num,leaf_num,sh,alive
1,16,6,JUEF,MONO,MONO_A,JUEF,JUEF,JUEF,15.11,5.43,9.68,96,35,11,5,NA,0,Y
1,16,7,JUEF,MONO,MONO_A,JUEF,JUEF,JUEF,21.33,5.43,15.9,96,30,15,6,NA,0,Y
1,16,8,JUEF,MONO,MONO_A,JUEF,JUEF,JUEF,14.8,5.43,9.37,76,24,12,7,NA,0,Y
1,16,9,JUEF,MONO,MONO_A,JUEF,JUEF,JUEF,11.03,5.43,5.6,81,27,8.5,8,NA,0,Y
1,16,10,JUEF,MONO,MONO_A,JUEF,JUEF,JUEF,17.88,5.43,12.45,89,25,12,9,NA,0,Y
1,16,NA,JUEF,MONO,MONO_A,JUEF,JUEF,TYPHA,352.09,41.73,310.36,,NA,NA,44,NA,NA,Y
1,17,NA,SPEU-JUEF,MIXED,NPA,SPEU,JUEF,TYPHA,329.56,41.73,287.83,NA,NA,NA,28,NA,NA,NA
1,17,NA,SPEU-JUEF,MIXED,NPA,SPEU,JUEF,JUEF,98.37,41.73,56.64,NA,NA,NA,NA,NA,NA,NA
1,17,NA,SPEU-JUEF,MIXED,NPA,SPEU,JUEF,SPEU,50.83,41.73,9.1,NA,NA,NA,NA,NA,NA,NA
1,18,NA,SALA-ACAM,MIXED,NPA,SALA,ACAM,TYPHA,314.79,41.73,273.06,NA,NA,NA,35,NA,NA,NA
1,18,NA,SALA-ACAM,MIXED,NPA,SALA,ACAM,SALA,69.62,41.73,27.89,NA,NA,NA,NA,NA,NA,NA
1,18,NA,SALA-ACAM,MIXED,NPA,SALA,ACAM,ACAM,52.35,41.73,10.62,NA,NA,NA,NA,NA,NA,NA
1,19,1,SCTA,MONO,MONO_B,SCTA,SCTA,SCTA,7.05,5.43,1.62,118,NA,NA,NA,3,0,Y
1,19,2,SCTA,MONO,MONO_B,SCTA,SCTA,SCTA,7.8,5.43,2.37,83,NA,NA,NA,6,0,Y
1,19,3,SCTA,MONO,MONO_B,SCTA,SCTA,SCTA,8.33,5.43,2.9,114,NA,NA,NA,5,0,Y
1,19,4,SCTA,MONO,MONO_B,SCTA,SCTA,SCTA,10.23,5.43,4.8,120,NA,NA,NA,4,0,Y
1,19,5,SCTA,MONO,MONO_B,SCTA,SCTA,SCTA,15.07,5.43,9.64,139,8,2,10,0,0,Y
1,19,6,SCTA,MONO,MONO_B,SCTA,SCTA,SCTA,21.22,5.43,15.79,162,18,4,NA,9,0,Y
1,19,7,SCTA,MONO,MONO_B,SCTA,SCTA,SCTA,20.88,5.43,15.45,168,23,4,NA,8,3,Y
1,19,8,SCTA,MONO,MONO_B,SCTA,SCTA,SCTA,14.5,5.43,9.07,143,13,4,NA,12,0,Y
1,19,9,SCTA,MONO,MONO_B,SCTA,SCTA,SCTA,5.38,5.43,0,151,NA,NA,NA,4,0,Y
1,19,10,SCTA,MONO,MONO_B,SCTA,SCTA,SCTA,15.86,5.43,10.43,136,16,2,NA,11,0,Y
1,19,NA,SCTA,MONO,MONO_B,SCTA,SCTA,TYPHA,301.44,41.73,259.71,NA,NA,NA,25,NA,NA,Y
