block,plot,plant_num,spp_mix,plot_type,mix_type,species1,species2,mass_Sp,mass,bag_wt,true_wt,th,cd_fr,bc_ram_num,stem_num,leaf_num,sh,alive
2,21,10,SCCY,MONO,MONO_A,SCCY,SCCY,SCCY,43.92,5.43,38.49,92,36,23,NA,NA,0,Y
2,21,NA,SCCY,MONO,MONO_A,SCCY,SCCY,TYPHA,184.16,41.73,142.43,NA,NA,NA,24,NA,NA,Y
2,22,1,HIMO,MONO,MONO_B,HIMO,HIMO,HIMO,9.38,5.43,3.95,62,16,4,2,18,0,Y
2,22,2,HIMO,MONO,MONO_B,HIMO,HIMO,HIMO,6.66,5.43,1.23,40,15,3,2,13,0,Y
2,22,3,HIMO,MONO,MONO_B,HIMO,HIMO,HIMO,10.13,5.43,4.7,68,16,4,2,18,0,Y
2,22,4,HIMO,MONO,MONO_B,HIMO,HIMO,HIMO,9.63,5.43,4.2,60,28,6,2,18,0,Y
2,22,5,HIMO,MONO,MONO_B,HIMO,HIMO,HIMO,8.97,5.43,3.54,69,13,4,2,16,0,Y
2,22,6,HIMO,MONO,MONO_B,HIMO,HIMO,HIMO,11.49,5.43,6.06,64,14,6.3,4,33,0,Y
2,22,7,HIMO,MONO,MONO_B,HIMO,HIMO,HIMO,12.08,5.43,6.65,70,18,5.5,2,22,0,Y
2,22,8,HIMO,MONO,MONO_B,HIMO,HIMO,HIMO,8.09,5.43,2.66,55,16,5,2,16,0,Y
2,22,9,HIMO,MONO,MONO_B,HIMO,HIMO,HIMO,12.04,5.43,6.61,68,18,7,3,28,0,Y
2,22,10,HIMO,MONO,MONO_B,HIMO,HIMO,HIMO,9.89,5.43,4.46,67,18,5,2,17,0,Y
2,22,NA,HIMO,MONO,MONO_B,HIMO,HIMO,TYPHA,368.56,41.73,326.83,NA,NA,NA,65,NA,NA,Y
2,23,1,JUEF,MONO,MONO_A,JUEF,JUEF,JUEF,29.63,5.43,24.2,90,27,18,1,NA,0,Y
2,23,2,JUEF,MONO,MONO_A,JUEF,JUEF,JUEF,17.39,5.43,11.96,87,24,12,1,NA,0,Y
